build_run_id,intake_run_id,compound_id,target_id,included,rank_included,score,include_reason,metrics_json
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL20466,KasA_mtb,1,1,0.762523,selected,"{""t1_score"":-10.678,""t2_score"":null,""rank_t1"":36,""rank_t2"":null,""t2_rmsd"":4.65914153564809,""t2_persistence"":0.99,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5951111111111114,""t2_persistence"":0.99,""t2_rmsd"":0.6676073080439887,""rank_t1"":0.7058823529411764}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL21432,KasA_mtb,1,2,0.732535,selected,"{""t1_score"":-10.615,""t2_score"":null,""rank_t1"":50,""rank_t2"":null,""t2_rmsd"":4.32389240468035,""t2_persistence"":0.92,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5811111111111111,""t2_persistence"":0.92,""t2_rmsd"":0.7095134494149562,""rank_t1"":0.5882352941176471}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL3309379,KasA_mtb,1,3,0.699181,selected,"{""t1_score"":-10.773,""t2_score"":null,""rank_t1"":26,""rank_t2"":null,""t2_rmsd"":4.805665529738189,""t2_persistence"":0.78,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6162222222222222,""t2_persistence"":0.78,""t2_rmsd"":0.6492918087827264,""rank_t1"":0.7899159663865546}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL4435185,KasA_mtb,1,4,0.681996,selected,"{""t1_score"":-11.455,""t2_score"":null,""rank_t1"":2,""rank_t2"":null,""t2_rmsd"":4.991899616910008,""t2_persistence"":0.56,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.7677777777777778,""t2_persistence"":0.56,""t2_rmsd"":0.626012547886249,""rank_t1"":0.9915966386554622}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL35565,KasA_mtb,1,5,0.666170,selected,"{""t1_score"":-10.716,""t2_score"":null,""rank_t1"":32,""rank_t2"":null,""t2_rmsd"":5.0190833495911855,""t2_persistence"":0.73,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6035555555555554,""t2_persistence"":0.73,""t2_rmsd"":0.6226145813011018,""rank_t1"":0.7394957983193278}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL3309297,KasA_mtb,1,6,0.604022,selected,"{""t1_score"":-10.702,""t2_score"":null,""rank_t1"":34,""rank_t2"":null,""t2_rmsd"":5.356156302509103,""t2_persistence"":0.59,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6004444444444444,""t2_persistence"":0.59,""t2_rmsd"":0.5804804621863622,""rank_t1"":0.7226890756302521}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL39037,KasA_mtb,1,7,0.595129,selected,"{""t1_score"":-10.631,""t2_score"":null,""rank_t1"":46,""rank_t2"":null,""t2_rmsd"":5.166601233135159,""t2_persistence"":0.59,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5846666666666667,""t2_persistence"":0.59,""t2_rmsd"":0.6041748458581051,""rank_t1"":0.6218487394957983}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL31350,KasA_mtb,1,8,0.588711,selected,"{""t1_score"":-10.539,""t2_score"":null,""rank_t1"":62,""rank_t2"":null,""t2_rmsd"":5.081450497109469,""t2_persistence"":0.62,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5642222222222222,""t2_persistence"":0.62,""t2_rmsd"":0.6148186878613163,""rank_t1"":0.4873949579831933}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL9728,KasA_mtb,1,9,0.586644,selected,"{""t1_score"":-10.646,""t2_score"":null,""rank_t1"":44,""rank_t2"":null,""t2_rmsd"":5.2998750681148135,""t2_persistence"":0.57,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5880000000000002,""t2_persistence"":0.57,""t2_rmsd"":0.5875156164856483,""rank_t1"":0.6386554621848739}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL12662,KasA_mtb,1,10,0.573496,selected,"{""t1_score"":-10.46,""t2_score"":null,""rank_t1"":73,""rank_t2"":null,""t2_rmsd"":5.215998752112878,""t2_persistence"":0.63,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5466666666666669,""t2_persistence"":0.63,""t2_rmsd"":0.5980001559858903,""rank_t1"":0.39495798319327735}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL21079,KasA_mtb,1,11,0.563612,selected,"{""t1_score"":-10.724,""t2_score"":null,""rank_t1"":31,""rank_t2"":null,""t2_rmsd"":5.208894459039604,""t2_persistence"":0.45,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6053333333333334,""t2_persistence"":0.45,""t2_rmsd"":0.5988881926200496,""rank_t1"":0.7478991596638656}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL51075,KasA_mtb,1,12,0.552563,selected,"{""t1_score"":-10.544,""t2_score"":null,""rank_t1"":61,""rank_t2"":null,""t2_rmsd"":5.379736359496101,""t2_persistence"":0.54,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5653333333333335,""t2_persistence"":0.54,""t2_rmsd"":0.5775329550629874,""rank_t1"":0.4957983193277311}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL3309384,KasA_mtb,1,13,0.552486,selected,"{""t1_score"":-10.485,""t2_score"":null,""rank_t1"":70,""rank_t2"":null,""t2_rmsd"":5.014304643614266,""t2_persistence"":0.54,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5522222222222222,""t2_persistence"":0.54,""t2_rmsd"":0.6232119195482168,""rank_t1"":0.4201680672268907}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL37633,KasA_mtb,1,14,0.543928,selected,"{""t1_score"":-10.449,""t2_score"":null,""rank_t1"":76,""rank_t2"":null,""t2_rmsd"":5.050042125525945,""t2_persistence"":0.54,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5442222222222222,""t2_persistence"":0.54,""t2_rmsd"":0.6187447343092569,""rank_t1"":0.3697478991596639}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL19855,KasA_mtb,1,15,0.539640,selected,"{""t1_score"":-10.742,""t2_score"":null,""rank_t1"":29,""rank_t2"":null,""t2_rmsd"":5.396190565150583,""t2_persistence"":0.39,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6093333333333335,""t2_persistence"":0.39,""t2_rmsd"":0.5754761793561771,""rank_t1"":0.7647058823529411}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL18956,KasA_mtb,0,,0.736065,gate_fail:rank_t1_gate,"{""t1_score"":-10.411,""t2_score"":null,""rank_t1"":88,""rank_t2"":null,""t2_rmsd"":3.649894077799894,""t2_persistence"":1.0,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5357777777777777,""t2_persistence"":1.0,""t2_rmsd"":0.7937632402750132,""rank_t1"":0.26890756302521013}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL573664,KasA_mtb,0,,0.703333,gate_fail:rank_t1_gate,"{""t1_score"":-10.443,""t2_score"":null,""rank_t1"":81,""rank_t2"":null,""t2_rmsd"":4.281812209991423,""t2_persistence"":0.94,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5428888888888888,""t2_persistence"":0.94,""t2_rmsd"":0.7147734737510721,""rank_t1"":0.32773109243697474}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL57604,KasA_mtb,0,,0.697552,gate_fail:rank_t1_gate,"{""t1_score"":-10.322,""t2_score"":null,""rank_t1"":115,""rank_t2"":null,""t2_rmsd"":3.854404814372243,""t2_persistence"":0.99,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5159999999999998,""t2_persistence"":0.99,""t2_rmsd"":0.7681993982034696,""rank_t1"":0.04201680672268904}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL4435086,KasA_mtb,0,,0.658998,gate_fail:rank_t1_gate,"{""t1_score"":-10.315,""t2_score"":null,""rank_t1"":118,""rank_t2"":null,""t2_rmsd"":4.544498752939781,""t2_persistence"":0.95,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5144444444444443,""t2_persistence"":0.95,""t2_rmsd"":0.6819376558825274,""rank_t1"":0.01680672268907568}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL43069,KasA_mtb,0,,0.642217,gate_fail:rank_t1_gate,"{""t1_score"":-10.345,""t2_score"":null,""rank_t1"":109,""rank_t2"":null,""t2_rmsd"":4.3795100878964375,""t2_persistence"":0.86,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5211111111111113,""t2_persistence"":0.86,""t2_rmsd"":0.7025612390129453,""rank_t1"":0.09243697478991597}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL36070,KasA_mtb,0,,0.637466,gate_fail:rank_t1_gate,"{""t1_score"":-10.304,""t2_score"":null,""rank_t1"":120,""rank_t2"":null,""t2_rmsd"":4.484278593254408,""t2_persistence"":0.89,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.512,""t2_persistence"":0.89,""t2_rmsd"":0.689465175843199,""rank_t1"":0.0}}"
20260407_1606_strict_tb_20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,20260407_1606_clinical_intake_20260407_1134_biochem_KasA_mtb_t2_validated,CHEMBL9440,KasA_mtb,0,,0.611989,gate_fail:rank_t1_gate,"{""t1_score"":-10.303,""t2_score"":null,""rank_t1"":121,""rank_t2"":null,""t2_rmsd"":4.513407831727348,""t2_persistence"":0.82,""gate_pass"":false,""gate_reasons"":[""rank_t1_gate""],""score_components"":{""t1_score"":0.5117777777777779,""t2_persistence"":0.82,""t2_rmsd"":0.6858240210340815,""rank_t1"":0.0}}"
