build_run_id,intake_run_id,compound_id,target_id,included,rank_included,score,include_reason,metrics_json
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL6693,InhA_mtb,1,1,0.783242,selected,"{""t1_score"":-10.685,""t2_score"":null,""rank_t1"":59,""rank_t2"":null,""t2_rmsd"":3.2936135509039195,""t2_persistence"":0.98,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5966666666666668,""t2_persistence"":0.98,""t2_rmsd"":0.8706386449096081,""rank_t1"":0.7085427135678393}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL23890,InhA_mtb,1,2,0.771054,selected,"{""t1_score"":-10.895,""t2_score"":null,""rank_t1"":23,""rank_t2"":null,""t2_rmsd"":4.1264984375065925,""t2_persistence"":0.85,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6433333333333333,""t2_persistence"":0.85,""t2_rmsd"":0.7873501562493408,""rank_t1"":0.8894472361809045}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL51790,InhA_mtb,1,3,0.766915,selected,"{""t1_score"":-11.254,""t2_score"":null,""rank_t1"":5,""rank_t2"":null,""t2_rmsd"":4.757922426548924,""t2_persistence"":0.74,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.723111111111111,""t2_persistence"":0.74,""t2_rmsd"":0.7242077573451076,""rank_t1"":0.9798994974874372}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL21333,InhA_mtb,1,4,0.760233,selected,"{""t1_score"":-11.157,""t2_score"":null,""rank_t1"":7,""rank_t2"":null,""t2_rmsd"":4.639438494771821,""t2_persistence"":0.74,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.7015555555555555,""t2_persistence"":0.74,""t2_rmsd"":0.7360561505228179,""rank_t1"":0.9698492462311558}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL35842,InhA_mtb,1,5,0.760025,selected,"{""t1_score"":-10.691,""t2_score"":null,""rank_t1"":56,""rank_t2"":null,""t2_rmsd"":4.140903480217021,""t2_persistence"":0.95,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5980000000000001,""t2_persistence"":0.95,""t2_rmsd"":0.785909651978298,""rank_t1"":0.7236180904522613}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL4435739,InhA_mtb,1,6,0.759758,selected,"{""t1_score"":-10.978,""t2_score"":null,""rank_t1"":13,""rank_t2"":null,""t2_rmsd"":4.340961944059731,""t2_persistence"":0.78,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6617777777777778,""t2_persistence"":0.78,""t2_rmsd"":0.7659038055940269,""rank_t1"":0.9396984924623115}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL31163,InhA_mtb,1,7,0.748322,selected,"{""t1_score"":-11.519,""t2_score"":null,""rank_t1"":2,""rank_t2"":null,""t2_rmsd"":4.881223202096173,""t2_persistence"":0.61,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.782,""t2_persistence"":0.61,""t2_rmsd"":0.7118776797903827,""rank_t1"":0.9949748743718593}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL32255,InhA_mtb,1,8,0.737953,selected,"{""t1_score"":-11.53,""t2_score"":null,""rank_t1"":1,""rank_t2"":null,""t2_rmsd"":5.480120275853505,""t2_persistence"":0.61,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.7844444444444443,""t2_persistence"":0.61,""t2_rmsd"":0.6519879724146496,""rank_t1"":1.0}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL41155,InhA_mtb,1,9,0.735591,selected,"{""t1_score"":-10.756,""t2_score"":null,""rank_t1"":43,""rank_t2"":null,""t2_rmsd"":4.3052904234903515,""t2_persistence"":0.83,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6124444444444446,""t2_persistence"":0.83,""t2_rmsd"":0.7694709576509648,""rank_t1"":0.7889447236180904}}"
20260412_1542_provisional_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL8447,InhA_mtb,1,10,0.718211,selected,"{""t1_score"":-10.503,""t2_score"":null,""rank_t1"":101,""rank_t2"":null,""t2_rmsd"":3.9545192054591496,""t2_persistence"":0.96,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5562222222222222,""t2_persistence"":0.96,""t2_rmsd"":0.804548079454085,""rank_t1"":0.4974874371859297}}"
