build_run_id,intake_run_id,compound_id,target_id,included,rank_included,score,include_reason,metrics_json
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL6693,InhA_mtb,1,1,0.782835,selected,"{""t1_score"":-10.685,""t2_score"":null,""rank_t1"":59,""rank_t2"":null,""t2_rmsd"":3.2936135509039195,""t2_persistence"":0.98,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5966666666666668,""t2_persistence"":0.98,""t2_rmsd"":0.8382983061370101,""rank_t1"":0.5126050420168067}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL23890,InhA_mtb,1,2,0.755560,selected,"{""t1_score"":-10.895,""t2_score"":null,""rank_t1"":23,""rank_t2"":null,""t2_rmsd"":4.1264984375065925,""t2_persistence"":0.85,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6433333333333333,""t2_persistence"":0.85,""t2_rmsd"":0.7341876953116759,""rank_t1"":0.8151260504201681}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL35842,InhA_mtb,1,3,0.748778,selected,"{""t1_score"":-10.691,""t2_score"":null,""rank_t1"":56,""rank_t2"":null,""t2_rmsd"":4.140903480217021,""t2_persistence"":0.95,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5980000000000001,""t2_persistence"":0.95,""t2_rmsd"":0.7323870649728724,""rank_t1"":0.5378151260504201}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL4435739,InhA_mtb,1,4,0.738294,selected,"{""t1_score"":-10.978,""t2_score"":null,""rank_t1"":13,""rank_t2"":null,""t2_rmsd"":4.340961944059731,""t2_persistence"":0.78,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6617777777777778,""t2_persistence"":0.78,""t2_rmsd"":0.7073797569925336,""rank_t1"":0.8991596638655462}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL51790,InhA_mtb,1,5,0.736387,selected,"{""t1_score"":-11.254,""t2_score"":null,""rank_t1"":5,""rank_t2"":null,""t2_rmsd"":4.757922426548924,""t2_persistence"":0.74,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.723111111111111,""t2_persistence"":0.74,""t2_rmsd"":0.6552596966813845,""rank_t1"":0.9663865546218487}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL21333,InhA_mtb,1,6,0.731942,selected,"{""t1_score"":-11.157,""t2_score"":null,""rank_t1"":7,""rank_t2"":null,""t2_rmsd"":4.639438494771821,""t2_persistence"":0.74,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.7015555555555555,""t2_persistence"":0.74,""t2_rmsd"":0.6700701881535224,""rank_t1"":0.9495798319327731}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL41155,InhA_mtb,1,7,0.716899,selected,"{""t1_score"":-10.756,""t2_score"":null,""rank_t1"":43,""rank_t2"":null,""t2_rmsd"":4.3052904234903515,""t2_persistence"":0.83,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6124444444444446,""t2_persistence"":0.83,""t2_rmsd"":0.7118386970637061,""rank_t1"":0.6470588235294117}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL31163,InhA_mtb,1,8,0.707221,selected,"{""t1_score"":-11.519,""t2_score"":null,""rank_t1"":2,""rank_t2"":null,""t2_rmsd"":4.881223202096173,""t2_persistence"":0.61,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.782,""t2_persistence"":0.61,""t2_rmsd"":0.6398470997379784,""rank_t1"":0.9915966386554622}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL43909,InhA_mtb,1,9,0.693497,selected,"{""t1_score"":-10.732,""t2_score"":null,""rank_t1"":49,""rank_t2"":null,""t2_rmsd"":4.169602461312087,""t2_persistence"":0.77,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6071111111111109,""t2_persistence"":0.77,""t2_rmsd"":0.7287996923359892,""rank_t1"":0.5966386554621849}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL32255,InhA_mtb,1,10,0.690080,selected,"{""t1_score"":-11.53,""t2_score"":null,""rank_t1"":1,""rank_t2"":null,""t2_rmsd"":5.480120275853505,""t2_persistence"":0.61,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.7844444444444443,""t2_persistence"":0.61,""t2_rmsd"":0.5649849655183119,""rank_t1"":1.0}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL21140,InhA_mtb,1,11,0.684709,selected,"{""t1_score"":-10.738,""t2_score"":null,""rank_t1"":47,""rank_t2"":null,""t2_rmsd"":4.853398339584177,""t2_persistence"":0.8,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6084444444444443,""t2_persistence"":0.8,""t2_rmsd"":0.6433252075519779,""rank_t1"":0.6134453781512605}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL46739,InhA_mtb,1,12,0.681016,selected,"{""t1_score"":-10.873,""t2_score"":null,""rank_t1"":28,""rank_t2"":null,""t2_rmsd"":4.8745111554590626,""t2_persistence"":0.72,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6384444444444444,""t2_persistence"":0.72,""t2_rmsd"":0.6406861055676172,""rank_t1"":0.773109243697479}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL4436480,InhA_mtb,1,13,0.658585,selected,"{""t1_score"":-10.617,""t2_score"":null,""rank_t1"":70,""rank_t2"":null,""t2_rmsd"":4.476753354152204,""t2_persistence"":0.77,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.5815555555555558,""t2_persistence"":0.77,""t2_rmsd"":0.6904058307309745,""rank_t1"":0.4201680672268907}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL31978,InhA_mtb,1,14,0.633295,selected,"{""t1_score"":-10.763,""t2_score"":null,""rank_t1"":42,""rank_t2"":null,""t2_rmsd"":5.230427743649913,""t2_persistence"":0.67,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.614,""t2_persistence"":0.67,""t2_rmsd"":0.5961965320437609,""rank_t1"":0.6554621848739496}}"
20260412_1542_strict_tb_20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,20260412_1542_clinical_intake_20260412_1541_biochem_InhA_mtb_published,CHEMBL34744,InhA_mtb,1,15,0.610538,selected,"{""t1_score"":-10.748,""t2_score"":null,""rank_t1"":46,""rank_t2"":null,""t2_rmsd"":4.811087425502741,""t2_persistence"":0.58,""gate_pass"":true,""gate_reasons"":[],""score_components"":{""t1_score"":0.6106666666666665,""t2_persistence"":0.58,""t2_rmsd"":0.6486140718121574,""rank_t1"":0.6218487394957983}}"
